Sample,A0,A1,A2
621,551.0,317.0,210.0
622,552.0,313.0,213.0
623,545.0,310.0,211.0
624,547.0,305.0,208.0
625,552.0,307.0,207.0
626,555.0,313.0,209.0
627,557.0,319.0,211.0
628,557.0,324.0,214.0
629,555.0,324.0,215.0
630,553.0,319.0,215.0
631,547.0,315.0,212.0
632,537.0,315.0,208.0
633,533.0,317.0,204.0
634,537.0,319.0,201.0
635,541.0,319.0,201.0
636,546.0,318.0,204.0
637,551.0,317.0,206.0
638,552.0,315.0,207.0
639,550.0,312.0,207.0
640,545.0,307.0,204.0
641,549.0,305.0,201.0
642,553.0,308.0,203.0
643,556.0,315.0,206.0
644,557.0,320.0,208.0
645,556.0,323.0,211.0
646,554.0,322.0,211.0
647,551.0,316.0,210.0
648,543.0,313.0,206.0
649,534.0,315.0,202.0
650,534.0,317.0,199.0
651,539.0,318.0,199.0
652,543.0,318.0,200.0
653,548.0,317.0,205.0
654,552.0,316.0,209.0
655,552.0,313.0,212.0
656,547.0,310.0,213.0
657,546.0,305.0,211.0
658,551.0,305.0,208.0
659,555.0,310.0,209.0
660,557.0,316.0,211.0
661,557.0,321.0,214.0
662,555.0,323.0,215.0
663,553.0,321.0,215.0
664,549.0,314.0,213.0
665,539.0,312.0,210.0
666,533.0,315.0,206.0
667,536.0,317.0,203.0
668,540.0,318.0,203.0
669,545.0,317.0,204.0
670,549.0,316.0,206.0
671,551.0,314.0,208.0
672,553.0,312.0,211.0
673,545.0,309.0,210.0
674,547.0,304.0,207.0
675,552.0,306.0,205.0
676,556.0,312.0,208.0
677,557.0,318.0,210.0
678,557.0,322.0,213.0
679,555.0,322.0,213.0
680,552.0,318.0,212.0
681,547.0,313.0,211.0
682,537.0,314.0,206.0
683,533.0,317.0,203.0
684,537.0,318.0,201.0
685,542.0,318.0,201.0
686,546.0,318.0,206.0
687,551.0,316.0,209.0
688,553.0,314.0,212.0
689,551.0,312.0,213.0
690,545.0,306.0,211.0
691,549.0,304.0,207.0
692,554.0,308.0,207.0
693,557.0,315.0,210.0
694,557.0,321.0,214.0
